patron	frecuencia
--+-+--+-	1
-++--++-++-	13
++++---+-+-	32
-+-+-----+-	162
--+---++--+-	1
+-+--+++++-	1
-+++-+-+++-	12
+-+-+--+-+-	14
++++-+-+-+-	27
++++-----+-	1
--+-+-+-+-+-	3
++++--++++-	1
+--+--+-++-	3
-++-++---+-	67
+-+--++-++-	15
++-+-+--++-	43
--+--+++++-	8
--+---+-	5
-+++----+-+-	1
--+---+-+--+-	1
-+-+--+---+-+-	1
-+--+---+-	2
+-++--+--+-	9
--++++---+-	15
++----+-++-	2
--+-+---+-	1
+--+-+++-+-	87
+----+-+--++-	1
+-++++-+-+-	7
+--+--+--+-	70
+--+-+-+--	1
-+---+---+-+-	1
+++----+-+-	1
-+-+-+-+---+-	1
-+--++--+-+-	1
+-+-++-+++-	4
++--++-+-+-	50
-+-+-++---+-	1
+++-+--+-+-	2
-+--+-+-+-+-	3
--++---+-+-	268
---++----+-	5
+-++-----+-	11
+---++--+-	1
+-++-+---+-	248
+-+-+++--+-	13
-+---+-+---++-	1
--+---+-++-	6
+--+-++--+-	343
+----+-+-+-	652
---+--+-	2
--++-----+-	11
++---+-+-+-	509
-+---+++--	2
+--+---+++-	85
+++-++---+-	11
+---+---+-	6
--+--+-+-	1
-+---+-	3
---+-+-+---++-	1
--++--+---+-	2
---+-+--+-	2
--++-+--+-	1
---+-+-+--+-+-	1
-+--++-+-+-	200
-+++--+--+-	4
-+-+++++++-	1
+--+--+-+-+-	2
+----+---+-	1069
-+-+-+++-+-	135
-+++++-+-+-	8
-+--+---++-	4
--+----+-+-	32
+++-----++-	2
-+-+-+----+-+-	1
----++-+-+-	27
+--+-+++-++-	1
-+-+--+---+-	6
-----+++++-	1
++---+---+-	840
-+---+--+-+-	2
+--+--++-+-	58
-+++-----+-	12
-+++-+---+-	215
-----+--+---+-	1
-++-+++--+-	11
+-++--++++-	1
+---+--++-	1
++--+-+--+-	3
-+-+-++--+-	567
-+---+-+-+-	3373
--+-+-+--++-	1
--++-++--+-	81
-+-+---+++-	129
--+-++---+-	321
-+-+-+++--	1
+-+-++--++-	12
-+-+++-+++-	3
-+---+----+-	2
++++-+++-+-	3
+-++-+-+-++-	1
---+--+-+-+-	6
-++--+++++-	2
--+-++-+---+-+-	1
+-+++++--+-	1
+-++++---+-	9
-+---+---+-	6007
---+++++-+-	4
+--+++-+-+-	61
++---++-++-	11
+--+-+++--+-	1
+------+-+-	13
--+-----++-	2
++--+-++-+-	1
-++--+---++-	1
---+--+---+-	8
---+-+-+-+-	2252
--++-+++-+-	19
-+---+---++-	2
-+-+--++-+-	109
-++--+----+-	1
++--+-+-+-	1
++-+--+-++-	2
+-+-+---+-+-	2
+---+++---+-	1
----+-+--+-	20
-+-+--+++-+-	1
-++-++-+++-	2
+---++++-+-	3
---++--+++-	1
++-+-----+-	33
-++-++--++-	8
+-+-++-+-+-	90
-++-++++-+-	3
+-+---+---+-	4
+----+-	1
+--+----++-	12
+----+-+--+-	1
+-+--++--+-	368
+-++-+-+-+-	252
+-++---+-+-	194
-+-++-+-+-+-	1
++-++++--+-	6
-+++++---+-	9
